Latitude,Longitude,City Name,Country,Temperature,Wind Speed,Humidity,Cloudiness,URL
-0.871,-44.0942,cururupu,br,80.77,9.86,100,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-0.871&lon=-44.0942
2.6977,130.2371,ternate,id,83.47,15.01,100,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=2.6977&lon=130.2371
-69.4251,83.5599,busselton,au,-10.04,17.47,66,few clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-69.4251&lon=83.5599
-25.943,-39.6222,arraial do cabo,br,79.96,21.27,99,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-25.943&lon=-39.6222
45.0048,126.4289,yushu,cn,53.23,14.45,61,light rain,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=45.0048&lon=126.4289
-4.0373,-149.1298,atuona,pf,80.59,11.77,100,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-4.0373&lon=-149.1298
-66.9936,-135.9013,rikitea,pf,28.3,15.35,100,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-66.9936&lon=-135.9013
-12.1886,-109.1262,puerto ayora,ec,76.45,14.79,100,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-12.1886&lon=-109.1262
-68.4353,-61.9928,ushuaia,ar,14.08,0.36,84,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-68.4353&lon=-61.9928
41.9344,-97.2511,norfolk,us,22.57,10.29,100,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=41.9344&lon=-97.2511
88.0411,53.3805,belushya guba,ru,-3.74,4.38,78,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=88.0411&lon=53.3805
-22.3356,-76.1124,antofagasta,cl,67.81,14.12,100,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-22.3356&lon=-76.1124
72.2346,-56.6218,upernavik,gl,17.14,10.65,80,few clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=72.2346&lon=-56.6218
4.7515,-108.9021,lazaro cardenas,mx,81.22,8.19,100,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=4.7515&lon=-108.9021
-41.4496,-6.1601,jamestown,sh,56.74,22.84,98,light rain,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-41.4496&lon=-6.1601
-55.0178,29.8506,port elizabeth,za,36.94,23.62,94,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-55.0178&lon=29.8506
67.5648,73.1663,staryy nadym,ru,-3.2,21.83,88,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=67.5648&lon=73.1663
-19.548,107.1372,carnarvon,au,79.06,15.46,100,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-19.548&lon=107.1372
-83.8675,-107.2367,punta arenas,cl,-14.81,17.25,70,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-83.8675&lon=-107.2367
69.4961,60.097,amderma,ru,1.57,7.52,91,scattered clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=69.4961&lon=60.097
-88.8606,95.191,albany,au,-73.49,3.71,0,few clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-88.8606&lon=95.191
0.9007,-157.941,faanui,pf,79.96,14.23,99,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=0.9007&lon=-157.941
89.6652,-151.6663,barrow,us,-5.81,12.44,72,scattered clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=89.6652&lon=-151.6663
45.4675,104.6747,mandalgovi,mn,27.94,15.79,71,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=45.4675&lon=104.6747
14.2831,-114.8721,cabo san lucas,mx,78.61,9.75,100,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=14.2831&lon=-114.8721
41.5551,-91.9314,coralville,us,20.07,4.7,92,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=41.5551&lon=-91.9314
5.2777,174.4693,butaritari,ki,83.29,8.63,100,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=5.2777&lon=174.4693
48.377,-145.0233,kodiak,us,42.34,20.04,100,few clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=48.377&lon=-145.0233
-41.416,39.5071,margate,za,54.58,11.77,100,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-41.416&lon=39.5071
-28.9333,14.0023,oranjemund,na,66.37,18.81,100,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-28.9333&lon=14.0023
-49.2204,30.8892,port alfred,za,44.23,21.27,88,light rain,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-49.2204&lon=30.8892
-38.4908,-1.8956,saldanha,za,61.69,6.96,100,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-38.4908&lon=-1.8956
72.5908,-49.9659,ilulissat,gl,4.27,15.01,82,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=72.5908&lon=-49.9659
